NATIVE_DROP_USD,SENDER_WALLETS,MUTUAL_ADDRESSES
3.63934288e-07,"0xeb957361ff49798f767bfe11f8d32757b7c8322f,0x9e010b391970873d3d25804d7f2b04b380f8cfbf","['0xeb957361ff49798f767bfe11f8d32757b7c8322f', '0x9e010b391970873d3d25804d7f2b04b380f8cfbf']"
7.849156432e-07,"0x309db6cd08f7ba1bcf47ded59ae9d5f7f2ddd162,0x162f5ae803a697811ad8ee22af95eb81a76fe38d,0x7759b385a9daca2d454ba0f6606ce4c4b3e05c04","['0x309db6cd08f7ba1bcf47ded59ae9d5f7f2ddd162', '0x162f5ae803a697811ad8ee22af95eb81a76fe38d', '0x7759b385a9daca2d454ba0f6606ce4c4b3e05c04']"
8.031751596e-07,"0x04da240062491f6c0b22577efbfff321e9c92626,0xe62f910e95377550f78fc5163af3e1c1fdc79898","['0x04da240062491f6c0b22577efbfff321e9c92626', '0xe62f910e95377550f78fc5163af3e1c1fdc79898']"
8.287138786e-07,"0x93114f6ec27e2efa619843388518abde8a75ff2a,0x122a4001b2226c250cfe1ebea3db62ddc516979d","['0x93114f6ec27e2efa619843388518abde8a75ff2a', '0x122a4001b2226c250cfe1ebea3db62ddc516979d']"
1.2378816076e-06,"0xd12607929eda9257ba7c76cf0d47ddba097d5179,0x59ef7beaad83cb63a46bb556ed832e31c15f9ce8","['0xd12607929eda9257ba7c76cf0d47ddba097d5179', '0x59ef7beaad83cb63a46bb556ed832e31c15f9ce8']"
1.4248666238e-06,"0xb7490e6245abecbc649369cc2518201ffa552f33,0xebeb43e041a0259010cf96b96590bae20ca71b53","['0xb7490e6245abecbc649369cc2518201ffa552f33', '0xebeb43e041a0259010cf96b96590bae20ca71b53']"
4.587101026e-06,"0x1b1cb2b8760335bb84f36e6341adc1294111666f,0xd2690c04243f1da0bc1fd0f6fa31626a89195ddc,0x0a56017aa8c6ae33d3f60f639a8cd319c45a1081","['0x1b1cb2b8760335bb84f36e6341adc1294111666f', '0xd2690c04243f1da0bc1fd0f6fa31626a89195ddc', '0x0a56017aa8c6ae33d3f60f639a8cd319c45a1081']"
5.02740615e-06,"0x98cc770d5f0db507103c0f26074945bd2f5cbd02,0x7f7a9eea0291f75e186afdc2ec7d75fc5d922108","['0x98cc770d5f0db507103c0f26074945bd2f5cbd02', '0x7f7a9eea0291f75e186afdc2ec7d75fc5d922108']"
5.049508668e-06,"0x98cc770d5f0db507103c0f26074945bd2f5cbd02,0x4350fa1c56844ee4421956451e7ea3a6eb7f8d62","['0x98cc770d5f0db507103c0f26074945bd2f5cbd02', '0x4350fa1c56844ee4421956451e7ea3a6eb7f8d62']"
6.868613292e-06,"0x4e091fe3edcf4a4db15fd9a1ae4293e94d95a1c4,0x2b437e195d9e906d7fe6d1f8946930224ef56cdb","['0x4e091fe3edcf4a4db15fd9a1ae4293e94d95a1c4', '0x2b437e195d9e906d7fe6d1f8946930224ef56cdb']"
